source_record_id,name,lb_ft3,g_cm3
94,Baby Powder,28.5,0.46
97,Bacon Bits & Flour,26.0,0.42
98,Bacon Stris,10.0,0.16
99,Baghouse Dust,61.0,0.98
100,Baghouse Dust From Glass Furnace,145.0,2.32
101,Bakelite,140.0,2.24
102,Bakery Mix,26.0,0.42
103,Baking Soda Silica,29.5,0.47
104,"Ball Clary, Hydrous Aluminum Silicate",27.0,0.43
105,Ball Clay,35.0,0.560646
106,Banana Flakes,29.0,0.46
107,Barbecue Seasoning Blend,54.0,0.86
108,Barex,57.0,0.91
109,Barium Ferrite,35.0,0.560646
110,Barium Monohydrate,38.0,0.61
111,Barium Oxide,50.0,0.8
112,Barley,72.0,1.15
113,Barley Bits,16.5,0.26
114,Barley Flour,29.0,0.46
115,Barytes,31.0,0.5
116,Basic Coer Carbonate,47.0,0.75
117,Basing Cement,42.0,0.67
118,Bath Soap Pellets,22.0,0.35
119,Batter Mix,70.0,1.12
120,Bauxite,70.0,1.12
121,"Bauxite Cereal Binder, Dry",35.0,0.560646
122,"Bauxite Cereal Binder, Wet",35.0,0.560646
123,Beans,35.0,0.560646
124,"Bedding Material, Small Wooden Chips",30.0,0.48
125,"Beef Liver, Dried",30.0,0.48
126,Beef Powder,40.0,0.64
127,Beef Seasoning,38.0,0.61
128,Beets,33.0,0.53
129,Belt Press Cake,17.0,0.27
130,Bentinite Clay,55.0,0.88
131,Bentonite,47.2,0.76
132,Bentonite Clay,28.0,0.45
133,Bentonite Kitty Litter,34.0,0.54463
134,Benzion,34.4,0.55
135,Beta Chip,14.4,0.23
136,Beta Nepthol,56.0,0.9
137,Biosolids Organic Nitrogen Fertilizer,57.0,0.91
138,Biowaste,50.0,0.8
139,Bisphenol,31.0,0.5
140,"Bisphenol, Flakes",30.0,0.48
141,"Bisphenol, Prills",57.0,0.91
142,Black & White Pepper,27.0,0.43
143,Black Eye Beans,35.0,0.560646
144,Blanched Clams,35.0,0.560646
145,Blast Furnace Dust,47.0,0.75
146,"Bleaching Clay, Absorbant",45.0,0.72
147,Blended Cathode Powder,6.0,0.1
148,"Blended Powder, Polypropolene",54.0,0.86
149,Blue Berry Pebbles,46.0,0.74
150,Blue Desiccant,53.6,0.86
151,Blue Pigment,63.0,1.01
152,Blueberry Bits,16.0,0.26
153,Bold Party Mix Seasoning,40.0,0.64
154,Bolomite Dust,40.0,0.64
155,Bone Dust,50.0,0.8
156,"Bone Meal, Dry",38.0,0.61
157,Borax,81.0,1.3
158,Borax Pentahydrate,50.0,0.8
159,Boric Acid,58.4,0.94
160,Boric Acid And Soda Ash,31.0,0.5
161,Boric Acid Powder,48.0,0.77
162,Boron Carbide,59.0,0.95
163,Bovine Plasms,37.0,0.59
164,Brake Lining Mix,26.0,0.42
165,Bread Crumbs,24.0,0.38
166,"Breading, Flour",32.0,0.51
167,Brewers Yeast,29.5,0.47
168,Broccoli,36.0,0.58
169,Broic Acid,32.0,0.51
170,Brown Buff Pigment,50.0,0.8
171,Brown Rice Flour,20.5,0.33
172,Brown Sugar,58.0,0.93
173,Brown Whey Powder,21.0,0.34
174,Buffalo Chicken Per-Dust,20.0,0.320369
175,Bulk Pulp Citrus Cells,20.0,0.320369
176,Burgess Clay,23.0,0.37
177,Butadiene Styrene Copolymers,25.0,0.4
178,Butter Toffee Candy,25.0,0.4
179,Butyl Phenol,25.0,0.4
180,"Butyl Phenol, Resin",27.0,0.43
181,Cadium Bearing Zinc Oxide Dust,16.0,0.26
182,Caffeinated Coffee Grounds,33.0,0.53
183,Caffeine,30.5,0.49
184,Cake Flour,33.0,0.53
185,"Cake Mix, German Chocolate",40.0,0.64
186,"Cake Mix, With Shortening",9.0,0.14
187,Calcified Food Base,30.0,0.48
188,Calcinated Kaolin Clay,153.0,2.45
189,Calcined Alumina,50.0,0.8
190,"Calcined Alumina, Aluminum Oxide Cerium Oxide",29.5,0.47
191,Calcined Bauxite,40.0,0.64
192,Calcined Flint,84.0,1.35
193,Calcined Kaolin Clay,22.5,0.36
194,Calcined Petroleum Coke,36.0,0.58
195,Calcium,89.0,1.43
196,Calcium Ascorbate,225.0,3.6
197,Calcium Carbide,25.0,0.4
199,Calcium Carbonate,47.0,0.75
200,Calcium Carbonate Slurry,36.0,0.58
201,"Calcium Carbonate, Atomite",35.0,0.560646
202,"Calcium Carbonate, Georgia Marble Gamasperse",34.0,0.54463
203,Calcium Chloride,49.0,0.78
204,"Calcium Chloride, Crude",43.5,0.7
205,Calcium Cilicate,74.0,1.19
206,Calcium Cyanamid,75.0,1.2
207,Calcium Dical Phosphate,66.0,1.06
208,Calcium Gluconate,41.0,0.66
209,Calcium Halophosphate,53.0,0.85
210,Calcium Hydroxide,34.0,0.54463
211,"Calcium Hydroxide, Dust",43.0,0.688794
212,"Calcium Hydroxide, Fines",35.0,0.560646
213,"Calcium Hydrozide, Lime",20.0,0.320369
214,Calcium Iodate,52.0,0.83
215,Calcium Lactate,18.0,0.29
216,Calcium Oxide,58.0,0.93
217,Calcium Roionate,37.5,0.6
218,Calcium Silicon,30.0,0.48
219,Calcium Stearate,52.0,0.83
220,Calcium Zinc Stearate,54.0,0.86
221,Candy Coated Chocolate Drops,59.2,0.95
222,Candy Sprinkles,60.0,0.96
223,Cane Sugar,30.4,0.49
224,"Captan, Fungicide",23.0,0.37
225,Car Wash Detergent,15.5,0.25
226,Caramel Nut Seasoning With Salt,17.0,0.27
227,Caraway,12.5,0.2
228,Caraway Seeds,50.0,0.8
229,Carbon,30.0,0.48
230,Carbon Black,70.0,1.12
231,"Carbon Black, Crushed",20.0,0.320369
232,"Carbon Black, Flakes",92.0,1.47
233,Carbon Dust,48.0,0.77
234,Carbon Fiber,5.7,0.09
235,"Carbon Fiber, Wet",35.0,0.560646
236,Carbon Graphite,51.2,0.82
237,Carbon Graphite Powder,42.0,0.67
238,"Carbon, Calcined Petroleum Coke",14.4,0.23
239,Carbonized Paper,60.0,0.96
240,Carborundum,30.0,0.48
241,Carbose Cmc,38.0,0.61
242,Cardio Aid Phytosterols,39.0,0.62
243,Carpet And Room Deodorizer,36.0,0.58
244,Carpet Conditioner,32.5,0.52
245,Carrageenan,40.0,0.64
246,Carrots,26.0,0.42
247,Casein Glue,32.0,0.51
248,Castor Wax Flakes,6.4,0.1
249,Cat Litter,44.0,0.7
250,Cat Litter Deodorant,36.0,0.58
251,Catechol,32.0,0.51
252,Cathode Mix,196.0,3.14
253,Cattle Feed,52.0,0.83
254,"Caustic Potash, Dry",47.0,0.75
255,Caustic Soda Beads,46.0,0.74
256,Celatom,36.0,0.58
257,Celaton Floor Dry,65.0,1.04
258,Celery,31.5,0.5
259,Cellulose,260.0,4.16
260,Cellulose & Reduced Iron Mixture,65.0,1.04
261,Cellulose Acatate-Butyrate,63.0,1.01
262,Cellulose Arbocel B 800,68.0,1.09
263,Cellulose Gum,56.5,0.91
264,Cellulose Powder,49.0,0.78
265,"Cellulose, Solka Floc",175.0,2.8
266,Celogen,46.0,0.74
267,"Celogen, Blowing Agent",49.0,0.78
268,Cement,37.5,0.6
269,Cement Based Waterproof Coating,43.5,0.7
270,Cement Dust,63.0,1.01
271,Cement Powder,50.0,0.8
272,Cenosheres,44.0,0.7
273,"Century Whey, Bi Pro Isolate",75.0,1.2
274,Ceramic Beads,70.0,1.12
275,"Ceramic Beads Powder, Drier Discharge",40.0,0.64
276,Ceramic Beas,34.0,0.54463
277,Ceramic Frit,60.0,0.96
278,Ceramic Material,50.0,0.8
279,Ceramic Triangle Stones,28.0,0.45
280,Cereal,51.5,0.82
281,Cereal Pellets,55.0,0.88
282,Cerium Carbonate,32.0,0.51
283,Cerium Oxide,40.0,0.64
284,Charcoal,35.0,0.560646
285,Charcoal Chips,18.0,0.29
286,"Charcoal, Ground",37.0,0.59
287,Cheddar Cheese,43.0,0.688794
288,Cheddar Seasoning,43.0,0.688794
289,Cheese & Shortening,45.0,0.72
290,Cheese Flour Mix,38.0,0.61
291,Cheese Mix,40.0,0.64
292,Cheese Powder,40.0,0.64
293,"Cheese, Fine Ground Parmesan",38.0,0.61
296,Cheesecake Crumb,27.0,0.43
297,Chesse Powder Blend,28.0,0.45
298,Chestnut Extract Powder,26.0,0.42
299,Chewing Gum Base,121.0,1.94
300,Chi Wood,115.0,1.84
301,Chicken Bouillon,53.0,0.85
302,"Chicken Embryos, In Shell",42.0,0.67
303,Chicken Flavored Soup Base,35.0,0.560646
304,Chicken Gravy Mix,50.0,0.8
305,Chicken Seasoning,50.0,0.8
306,Chicken Soup With Noodles,32.0,0.51
307,"Chile Pods, Dried",37.0,0.59
308,China Clay,49.0,0.78
309,"Chinese Bauxite, Calcined",42.0,0.67
310,Chlorinated Trisodium Phosphate,42.0,0.67
313,Chlorine Based Detergent,33.5,0.54
314,Chocolate,40.0,0.64
315,"Chocolate Chipsm, Mini",12.0,0.19
316,Chocolate Pudding Dry Mix,30.0,0.48
317,Chocolate Volcano Cake Base,30.0,0.48
318,"Chopped Copper Wire, Coarse",15.0,0.24
319,"Chopped Copper Wire, Fine",15.0,0.24
320,Chopped Ethafoam,32.0,0.51
321,Chopped Glass Fibers,300.0,4.81
322,Chopped Hd Polyethylene,52.0,0.83
323,"Chopped Hd Polyethylene (Recycled, Flake-Like)",80.0,1.28
324,Chopped Nuts,11.5,0.18
325,Chopped Peanuts,35.0,0.560646
326,Chopped Polyroylene Fibers,29.0,0.46
327,Chopped Thread,30.0,0.48
328,Chopped Tobacco,12.0,0.19
329,Chopped Walnuts,30.0,0.48
330,"Chopped Wire - Copper, Aluminum, And Insulation",41.0,0.66
331,Chopped Wire With Filler,41.0,0.66
332,Chrome Trioxide,46.0,0.74
333,Chrome Yellow Medium,34.5,0.55
334,Chunk Cheese,43.2,0.688794
335,Chunk Chocolate,40.0,0.64
336,Cinnamon,40.0,0.64
337,Cinnamon & Sugar Mixture,47.0,0.75
338,Cinnamon Bark,50.0,0.8
339,Cinnamon Chips,50.0,0.8
340,"Cinnamon Chips, Bark",17.0,0.27
341,Cinnamon Flour With Raisins Mix,41.0,0.66
342,Cinnamon Granola,24.8,0.4
343,Cinnamon / Sugar Mix,45.0,0.72
344,Citric Acid,56.8,0.91
345,"Citric Acid, Anhydrous",43.0,0.688794
346,"Clarion, Bleaching Earth",53.0,0.85
347,"Clary, Kaolin - Thiele Rc-32",35.0,0.560646
348,Clay,51.0,0.82
349,Clay Mixture,29.0,0.46
350,Clay Powder,29.0,0.46
351,"Clay, 1% Moisture",38.0,0.61
352,"Clay, Kaolin",44.0,0.7
353,"Clay, Novacite #200",37.5,0.6
354,"Clay, Pyrophyllite",36.0,0.58
355,"Clay, Snobrite Kaolin",34.0,0.54463
356,Coal,55.0,0.88
357,Coal Sample,32.0,0.51
358,"Coal, 1/4"" Screened",60.0,0.96
359,Cobalt Acetate (24%),59.0,0.95
360,Cobalt Manganese Oxide,30.1,0.48
361,Cobalt Nitrate,250.0,4
362,"Cobalt Powder, Extra Fine",39.5,0.63
363,Cocoa,52.0,0.83
364,Cocoa Beans (Shell & Nib),5.0,0.08
365,Cocoa (Vending Mix),35.0,0.560646
366,Cocoa Beans (Raw),33.0,0.53
367,"Cocoa Beans, Whole In Shells",32.0,0.51
368,Cocoa Mixture,49.5,0.79
369,Cocoa Nibs,54.0,0.86
370,Cocoa Powder,50.0,0.8
371,Cocoa Powder 10/12%,34.0,0.54463
372,Cocoa/Powdered Sugar,40.0,0.64
373,Coconut,42.0,0.67
374,Coconut Base Actvated Carbon,30.0,0.48
375,Coconut Chips,32.0,0.51
376,Coconut Chips W/ Candy Pellets,37.0,0.59
377,Coconut Crunch Doughnut Topping,35.0,0.560646
378,Coconut Fibers (Coir),80.0,1.28
379,Coconut Flakes,63.0,1.01
380,Coconut Monoethanolamide,25.0,0.4
381,"Coconut, Macaroon",61.0,0.98
382,Coer Hthalocyanne Blue Crude (Dry),67.5,1.08
383,Coer Hthalocyanne Blue Crude (Wet),58.0,0.93
384,Coer Recipitate,28.0,0.45
385,Coer Scrap,40.0,0.64
386,Coffee (Decaf),34.0,0.54463
387,Coffee Beans,50.0,0.8
388,"Coffee Beans, Green",81.0,1.3
389,"Coffee Beans, Roasted",31.0,0.5
390,Coffee Chaff,36.0,0.58
391,Coffee Creamer,36.0,0.58
392,Coffee Regular,34.0,0.54463
393,Coffee Whitener,7.0,0.11
394,"Coffee, Dry Ground",15.0,0.24
395,"Coffee, Flaked",32.5,0.52
396,"Coffee, Ground",56.0,0.9
397,"Coffee, Instant",56.0,0.9
398,Coke Fines,44.5,0.71
399,Coke Maze,52.5,0.84
400,Colenuts (Crushed Soy Beans),35.0,0.560646
401,Colloidal Clay,28.0,0.45
402,Colored Sand,30.0,0.48
403,Como Catalyst,12.0,0.19
404,Compost,25.0,0.4
405,Compressible Sugar,56.0,0.9
406,Concret,30.0,0.48
407,Concrete Lasticizer,125.0,2
408,Concrete Water Proofing Admixture,72.0,1.15
409,Confectionery Sugar With 3% Corn Starch,29.0,0.46
410,Converter Dust,52.5,0.84
411,Cooked Bone,43.0,0.688794
412,Cookie Crumbs,44.0,0.7
413,Cookie Wafers,42.5,0.68
414,Cookies,35.0,0.560646
415,Copolymer 120,50.0,0.8
416,Copolymer 120 (Ion Exchange Resin),15.0,0.24
417,Copolymer 353-A (Ion Exchange Resin),37.0,0.59
418,Copolymer Of Styrene And Isobutyl Acid Maleate,43.0,0.688794
419,Copper Carbonate,52.0,0.83
420,Copper Iodide,60.0,0.96
421,Copper Oxide,21.0,0.34
422,Copper Powder,33.0,0.53
423,Coriander,33.0,0.53
424,Corn,16.0,0.26
425,"Corn Bran, Fine Grind",38.0,0.61
426,Corn Bread Meal,40.0,0.64
427,Corn Feed,100.0,1.6
428,Corn Flaking Grits,62.0,0.99
429,Corn Flour,46.0,0.74
430,Corn Glutten Feed,26.0,0.42
431,Corn Grits,24.0,0.38
432,Corn Kernels,30.0,0.48
433,Corn Meal,40.0,0.64
434,Corn Meal Flour,51.0,0.82
435,Corn Meal Mix,40.0,0.64
436,Corn Silk Powder,32.0,0.51
440,Corn Starch (Refined From Waxy Corn),52.0,0.83
441,Corn Syrup Solids,43.0,0.688794
442,"Corn, Large Kernal",7.5,0.12
443,Cornstoner,46.0,0.74
444,Cotton Flock,41.0,0.66
445,Cotton Seed Hulls,32.0,0.51
446,Cottonseed Protein,66.0,1.06
447,Cracked Black Pepper Blend,12.0,0.19
448,Cracked Corn,24.0,0.38
449,Cracked Pop Corn,20.0,0.320369
450,Cracker Crumbs,28.0,0.45
451,Cracker Meal,34.0,0.54463
452,Cranberry Pulp,35.0,0.560646
453,"Cranberry, Spinach, Carrot Blend",35.0,0.560646
454,Cream Powder,39.0,0.62
455,Creatine,22.0,0.35
456,Creping Aid (Glue),40.0,0.64
457,Crisped Rice,7.0,0.11
458,Cristobalite,35.0,0.560646
459,Crodamide Ebs Micobeads,50.0,0.8
460,Crosslinked Copolymer,49.0,0.78
461,Crude Blue,60.0,0.96
462,Crude Blue (Pigment),50.0,0.8
463,Crum Rubber,30.4,0.49
464,Crush Cookies,38.0,0.61
465,Crushed Crab Shell,31.0,0.5
466,Crushed Malted Barley,32.5,0.52
467,Crushed Rosin,35.0,0.560646
468,Crushed Soy Beans,38.0,0.61
469,Crystal Caustic,7.0,0.11
470,Crystalline Sulfur,32.0,0.51
471,Cumarone Indene Resin,36.0,0.58
472,Cumin,50.0,0.8
473,Cumin Seads,32.0,0.51
474,"Cumin Seed, Pakistan",26.0,0.42
475,Cupric Sulfate,32.0,0.51
476,Cupric Sulfate Pentahydrate,23.0,0.37
477,Cuprous Oxide,36.0,0.58
478,Cutina C,39.0,0.62
479,Cvc Resin Cake,40.0,0.64
480,Decabromodiphenyl Oxide,49.0,0.78
481,Dehydrated Banana Flakes,22.0,0.35
482,Dehydrated Potatoes,24.0,0.38
483,Dehydrated Soup,21.0,0.34
484,Dehydrated Vegetables,42.0,0.67
485,Dehyrated Whole Black Beans,30.0,0.48
486,Demerara Sugar,51.0,0.82
487,Densified Rice,20.0,0.320369
488,Densified Rise (Rice Crispies),100.0,1.6
489,Dental Casting Powder,60.0,0.96
490,Dental Plaster (White),29.0,0.46
491,Dental Powder,45.0,0.72
492,Denture Cleaner,75.0,1.2
493,Detergent,32.0,0.51
494,Detergent Tailings,32.5,0.52
495,Dextrin & Kaolin Clay,31.0,0.5
496,Dextros,30.0,0.48
497,Dextros Monohydrated,25.0,0.4
498,Dextrose & Fine Salt,84.0,1.35
499,Dextrose & Oil,33.5,0.54
500,Dextrose Monohydrate,32.0,0.51
501,Dextrose Sugar,53.0,0.85
502,Diacalite (Diatomaceous Earth),27.0,0.43
503,Diammonium Phosphate,27.0,0.43
504,Diatomaceous Earth,36.0,0.58
505,Dibromoneopentyl Glycol,22.5,0.36
506,Dicalcium Phosphate Dihydrate,45.0,0.72
507,Diced Peanuts,52.5,0.84
508,Dichlorohenoxyacetic Acid,35.0,0.560646
509,Dicyandiamide,52.0,0.83
510,Die Stone,65.0,1.04
511,Dimodan,65.0,1.04
512,Dipentaerythritol,106.0,1.7
513,Dipotassium Phosphate,64.0,1.03
516,Disodium Sebacate,20.0,0.320369
519,Dog Food,29.0,0.46
520,Dog Food Regrained,46.0,0.74
521,Dolomite (Raw),55.0,0.88
522,Dolomitic Lime,39.0,0.62
523,Dolomitic Limestone,43.0,0.688794
524,Dough Mix,38.0,0.61
525,Dried Algae,40.0,0.64
526,Dried Alumina Gel Green Grains,42.5,0.68
527,Dried Alumina Gel Green Pellets,35.0,0.560646
528,Dried Bone & Meat Scraps,40.0,0.64
529,Dried Brewers Yeast,35.0,0.560646
530,Dried Calcuim Carbonate,35.0,0.560646
531,Dried Carrots,35.0,0.560646
532,"Dried Celery, Bell Peppers, Onions",26.0,0.42
533,Dried Dairy Waste Product,29.0,0.46
534,Dried Filter Plant Solids,62.0,0.99
535,Dried Green Peppers,36.0,0.58
536,Dried Horseradish Powder (Wasabi),44.0,0.7
537,Dried Meat / Powder Protein,20.0,0.320369
538,Dried Pelltized Bi-Mass,23.0,0.37
539,Dried Pepper,26.0,0.42
540,Dried Premium Cranberries,32.0,0.51
541,Dried Skim Milk,44.5,0.71
542,Dried Sludge,30.0,0.48
543,Dried Smoked Yeast,49.0,0.78
544,Dried Whole Whey Powder,33.0,0.53
545,Dried Yeast,31.0,0.5
546,Drimarene Turquoise Powder,35.0,0.560646
547,"Drink Mix, Powdered",33.0,0.53
548,Dry Batter Mix,40.0,0.64
549,Dry Blend Animal Feed,36.0,0.58
550,Dry Coffee,24.0,0.38
551,Dry Concentrate Fertilizer,71.6,1.15
552,Dry Foundry Silica Sand,35.0,0.560646
553,Dry Milk,37.0,0.59
554,Dry Milk Powder (Non-Fat),35.0,0.560646
555,Dry Pulverized Chaff,46.0,0.74
556,Dry Red Beans,35.0,0.560646
557,Dry Salt,50.0,0.8
558,Dry Sluge,31.5,0.5
559,"Dry Slurry, Powdered Detergent",8.0,0.13
560,"Dryed Celery, Bell Peppers, Onions",7.0,0.11
561,Drying Powder,8.0,0.13
562,Durum Semolina Flour,26.0,0.42
563,Echinacea Root,80.0,1.28
564,Eco Flurries,37.0,0.59
565,Edta Acid,55.0,0.88
566,Egg Bow Noddle,72.0,1.15
567,Egg Flour,73.0,1.17
568,"Egg Noodle (1/16Wx2 1/2"" - 4""L)",78.0,1.25
569,Egg Powder,67.0,1.07
572,Elbow Noodles,90.0,1.44
573,Electrolytic Manganese Dioxide,100.0,1.6
574,Encasulated Urea,42.5,0.68
575,Entachlorohenal,28.0,0.45
576,Entachlorohenal (Ermatox D-2),60.8,0.97
577,Entylyn,41.0,0.66
578,Epsom Salt,231.0,3.7
579,Erucamide (Fatty Acid),45.0,0.72
580,Erythromycin Base,33.0,0.53
581,Erythromycin Base Dihydrate,35.0,0.560646
582,Erythromycin Thiocyanate,32.0,0.51
583,Ester (Similar To Fatty Acid),50.0,0.8
584,Ethanox,42.0,0.67
585,Ethocell Powder,51.0,0.82
586,Ethylene-Vinyl Acetate (Eva),41.0,0.66
587,Ethylene-Vinyl Acetate Copolymer Resin,35.0,0.560646
588,Evaorated Salt,60.0,0.96
589,Expanded Pelite,66.0,1.06
590,Feed Grade Mini-Granular Zinc,54.0,0.86
591,Ferric Citrate,50.0,0.8
592,Ferric Phosphate,50.0,0.8
593,Ferric Sulfate (Citco),28.0,0.45
594,Ferrite Powder,40.0,0.64
595,Ferromolybdenum Powder,17.0,0.27
596,Ferrosilcon,62.0,0.99
597,Ferrouis Sulfate Heptahydrate,49.0,0.78
598,Ferrous Sulfate,41.0,0.66
599,Ferrous Sulfate (Moist),65.0,1.04
600,Ferrous Sulfate Heptahydrate,66.5,1.07
601,Fertilizer,75.0,1.2
602,Fertilizer (20-20-20) & (32-10-10),52.0,0.83
603,Fiber,65.0,1.04
604,Fiber Board,11.2,0.18
605,Fiber Glass Strands,46.0,0.74
606,Fiber Neet Resin,46.0,0.74
607,Fiber Samples,80.0,1.28
608,Fiberglass,80.0,1.28
609,Fiberglass Reinforcements,112.5,1.8
610,"Fiberglass, Chopped",48.0,0.77
611,Filter Aid,65.0,1.04
612,Filter Aid (Celite),100.0,1.6
613,Filter Cake (Oat Bran),68.0,1.09
614,Filter Powder,83.0,1.33
615,Filter Press Cake,57.0,0.91
616,Fine Flake Salt,40.0,0.64
617,Fine Grog (Crushed Brick),42.0,0.67
618,Fine Plastic Flakes (Milled Material),37.0,0.59
619,Finished Detergent,30.0,0.48
620,Fire Extinguishers Chemical,31.0,0.5
621,Fish Food,36.0,0.58
622,Fish Food Wafer,35.0,0.560646
623,Fish Powder,40.0,0.64
624,Flake Gelatin,40.0,0.64
625,Flake Wood Carbon (Charcoal),38.0,0.61
626,Flaked Potatoes,44.5,0.71
627,Flaked Potatoes (Wet),30.0,0.48
628,Flame Retardant,20.0,0.320369
629,Flea Killer For Carpets,33.0,0.53
630,Fledsar,30.0,0.48
631,Flock (Poly),32.0,0.51
632,Flocking,9.6,0.15
633,Flour,39.0,0.62
634,Flour (High Gluten),42.0,0.67
635,Flour (Pancake Mix),37.5,0.6
636,Flour Bedding,40.0,0.64
637,Flour Breading,39.0,0.62
638,Flour Mix,31.0,0.5
639,Flour Salt,44.0,0.7
640,Flourspar,30.0,0.48
641,Fluorescent Powder,55.0,0.88
642,Flux Calcined Diatomaceous Earth,33.0,0.53
643,Fly Ash From Ulverized Coal And Bark,56.5,0.91
644,Flyash,33.9,0.54
645,Food Grade Resin Powder,300.0,4.81
646,Food Grade Starch,38.0,0.61
647,Foray,62.5,1
648,Foundry Molding Sand,46.0,0.74
649,Foundry Sand,75.0,1.2
650,Fragrance Compound (Perfume),40.0,0.64
651,Freeze Dried Beef Stew Mix,35.0,0.560646
652,Freeze Dried Coffee Beans,58.0,0.93
653,Freeze Dried Corn (Whole Kernal),49.0,0.78
654,Freeze Dried Pineapple Juice,53.0,0.85
655,French Fry Crumb,48.0,0.77
656,French Fry Mix,54.0,0.86
657,French Roast Whole Coffee Beans,55.0,0.88
658,French Vanilla Coffee Creamer,47.0,0.75
659,Frozen Brocoli,43.0,0.688794
660,Frozen Cheese Tortellini,35.0,0.560646
661,Frozen Mix Vegetable,42.5,0.68
662,Frozen Oatmeal,35.0,0.560646
663,Frozen Potato Wedges,50.0,0.8
664,Frozen Potatoes,50.0,0.8
667,Frozen Slice Apples,35.0,0.560646
668,Fruit Fill,48.0,0.77
669,Fumaric Acid,50.0,0.8
670,Fumed Silica,25.0,0.4
671,Fungicide,45.0,0.72
672,Gamma Iron Oxide,27.0,0.43
673,Gamma Iron Oxide (Ferrox),27.0,0.43
674,Garlic,48.0,0.77
675,Garlic Powder,44.0,0.7
676,Garonite (Pourable Hydraulic Cement),97.0,1.55
677,Garrageenan & Xanthan,90.0,1.44
678,Gelatin,35.0,0.560646
679,"Gelatin, Bone Remelt",37.0,0.59
